de,en,fr,,syn_de,syn_de,syn_de,syn_en,syn_en,syn_en,syn_fr,syn_fr,syn_fr
3D Simulation,3D simulation,Simulation 3D,,,,,,,,,,
3D Visualisierung,3D visualisation,Visualisation 3D,,,,,,,,,,
Abwasser,sewerage,eaux d'égout,,,,,,,,,,
Allgemeine Verbindungspunkte,Junctions,Points de connexion généraux,,,,,,,,,,
Anbindungen an Verkehrsträger,Terminal,Points d'accès aux réseaux de transport non routier,,,,,,,,,,
Antenne,Antenna,Antenne,,,,,,,,,,
Areal,area,surface,,Gebiet,Fläche,Grundstück,plot,,,régions,areal,intrigue
Auffahrtsrampen,Ramp,Rampes d'accès,,,,,,,,,,
Autofähre,Ferry,Bacs pour voitures,,,,,,,,,,
Bach,brook,ruisseau,,,,,,,,,,
Bahnen,Railway,Chemins de fer,,Eisenbahn,,,,,,transport par câble,voie ferrée,
Basiskarte,topographic base,carte de base,,,,,,,,,,
Baudenkmal,historic monument,monument,,,,,,,,,,
Bauernhof,farm,la ferme,,,,,,,,,,
Behörde,authority,administration,,Amt,,,administration,,,,,
Bereiche mit einer speziellen Landnutzung,Plots with special land usage,Secteurs avec une utilisation spéciale du sol,,,,,,,,,,
Berg,mountain,montagne,,,,,,,,,,
Berghuette,mountain lodge,Cabane de montagne,,,,,,,,,,
Bergname,Mountain name,Nom de montagne,,,,,,,,,,
Bezirksgrenze,District boundary,Limite de district,,,,,,,,,,
Boden,soil,sol,,,,,,,,,,
Bodenbedeckung,Land cover,occupation des sols,,,,,,,,,,
Bund,federal government,ceinture,,,,,,,,,,
Campingplatz,Camping place,camping,,,,,campsite,,,,,
Damm,dam,barrage,,Staudämme,,,,,,Murs de barrage,,
Darstellung,presentation,présentation,,Visualisierung,,,,,,,,
Daten,data,données,,,,,,,,,,
Denkmal,Monument,Monument,,,,,,,,,,
Deponie,disposal site,Décharge,,,,,,,,,,
Digitales Farborthofotomosaik,Digital color orthophoto mosaic,Mosaïque d'orthophotos numériques en couleur,,,,,,,,,,
Digitales Geländemodell,digital land model,modèle terrestre numérique,,,,,,,,,,
Digitales Höhenmodell DHM,Digital elevation model DEM,Modèle numérique d'altitude MNA,,,,,,,,,,
Digitales Oberflächenmodell DOM,Digital surface model DSM,modèle numérique d’élévation MNE,,,,,,,,,,
Digitales Terrainmodell DTM,Digital terrain model DTM,Modèle numérique de terrain MNT,,Geländemodell DGM,,,,,,,,
Dimension,dimension,dimension,,,,,,,,,,
e-geo.ch Geoportal,e-geo.ch geoportal,géoportail e-geo.ch,,,,,,,,,,
Einzelbäume,Single Trees,arbres isolés,,,,,,,,arbres individuels,,
Einzelobjekte,single objects,Objets divers,,,,,,,,,,
Einzelsignatur,Individual Symbol,Symbole individuel,,,,,,,,,,
Eisenbahnlinien und andere Bahnen,Railway tracks and other rail systems,Lignes de chemin de fer et autres,,,,,,,,,,
Eisenbahnnetz,railway network,réseau ferroviaire,,,,,,,,,,
Energie,energy,énergie,,,,,,,,,,
Energiequellen,Energy resources,ources d'énergie,,,,,,,,,,
Entsorgung,disposal,traitement des déchets,,Abfall,,,waste management,,,,,
Entwicklungsplan,development plan,plan de développement,,,,,master plan,,,,,
Fähre,Ferry,bac,,,,,,,,,,
Fels,rock,roche,,,,,,,,,,
Fliessgewässer,Flowing Water,Eaux courantes,,,,,Running Water,,,Surfaces des cours d’eau,,
Flora und Fauna,Flora and Fauna,flore et faune,,,,,,,,,,
Flugpiste,Runway,Pistes d'aviation,,,,,,,,,,
Flugplatz,Airport,Aérodrome,,Flughafen,,,,,,aéroport,,
Fluss,River,rivière,,,,,,,,,,
Form,form,forme,,,,,,,,,,
Forst,forest,forêt,,,,,,,,,,
Freizeit,leisure,loisirs,,,,,,,,,,
Freizeitanlagenareal,Leisure Area,Aire de loisirs,,,,,,,,,,
Friedhof,Cemetery,cimetière,,,,,,,,,,
Funktion,function,fonction,,,,,,,,,,
Fuss- und Fahrradweg,cycling path and footpath,chemins pédestres et pistes cyclables,,,,,,,,,,
Gebäude,Building,bâtiment,,Bauwesen,,,,,,,,
Geländedarstellung,Terrain representation,Représentation du terrain,,,,,,,,,,
Gemeinde,municipality,municipalité,,Stadt,,,community,commune,,commune,communauté,
Gemeindegrenze,Municipal boundary,Limite de commune,,,,,,,,limite communale,,
Genauigkeit,precision,précision,,,,,accuracy,,,,,
Generalkarte,General map,Carte générale,,Übersichtskarte,,,,,,Carte synoptique,,
Geodaten,Geodata,Géodonnées,,,,,,,,,,
